City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
320,puerto santa,-8.9906,-78.6456,17.46,87,13,4.08,PE,1718503628
321,tamanrasset,22.785,5.5228,23.95,9,0,1.03,DZ,1718503629
322,budleigh salterton,50.6298,-3.3218,12.27,86,5,6.77,GB,1718503630
323,happy valley-goose bay,53.3168,-60.3315,9.98,55,100,2.09,CA,1718503632
324,dalian,38.9122,121.6022,28.96,37,0,2.0,CN,1718503532
325,vila do maio,15.1333,-23.2167,22.07,86,34,3.85,CV,1718503635
326,butte,39.6499,-121.5677,29.66,16,0,4.63,US,1718503493
327,arteche,12.2645,125.4048,29.44,78,100,2.41,PH,1718503638
328,bafq,31.6128,55.4107,26.38,34,2,1.08,IR,1718503639
329,vilyuysk,63.7553,121.6247,8.33,96,100,3.13,RU,1718503640
330,yeppoon,-23.1333,150.7333,23.47,36,0,3.5,AU,1718503642
331,vikhorevka,56.1201,101.1636,21.77,30,4,2.81,RU,1718503643
332,saint augustine beach,29.8505,-81.2654,28.33,78,40,3.09,US,1718503645
333,karratha,-20.7377,116.8463,25.42,63,2,2.9,AU,1718503646
334,ancud,-41.8697,-73.8203,8.66,82,100,3.88,CL,1718503647
335,myski,53.709,87.8014,22.83,76,24,1.98,RU,1718503649
336,weatherford,32.7593,-97.7972,29.51,62,30,0.45,US,1718503650
337,keflavik,64.0049,-22.5624,7.24,100,100,5.14,IS,1718503652
338,urumqi,43.801,87.6005,21.53,43,0,3.0,CN,1718503653
339,sakakah,29.9697,40.2064,30.76,17,0,1.77,SA,1718503654
340,calatayud,41.3535,-1.6432,15.69,69,12,0.24,ES,1718503656
341,kingston,17.997,-76.7936,25.82,88,94,2.0,JM,1718503657
342,rechka-vydrino,51.485,104.8461,15.78,60,63,1.57,RU,1718503658
343,gaiman,-43.2897,-65.4929,6.84,58,70,2.89,AR,1718503660
344,kavieng,-2.5744,150.7967,28.41,75,100,3.32,PG,1718503661
345,bijapur,16.8333,75.7,24.48,79,89,5.39,IN,1718503663
346,uturoa,-16.7333,-151.4333,26.91,79,16,8.03,PF,1718503664
347,pombas,17.1503,-25.0201,16.57,82,16,3.81,CV,1718503665
348,polyarnyy,69.1989,33.4478,10.21,95,100,4.02,RU,1718503411
349,terenozek,45.05,64.9833,27.84,33,0,4.27,KZ,1718503668
350,huarmey,-10.0681,-78.1522,17.77,86,20,4.61,PE,1718503387
351,the pas,53.8251,-101.2541,20.01,73,100,5.14,CA,1718503671
352,khuzdar,27.7384,66.6434,28.94,34,13,1.66,PK,1718503673
353,carutapera,-1.195,-46.02,23.69,95,53,2.49,BR,1718503674
354,sinabang,2.4803,96.3801,26.07,90,100,4.67,ID,1718503676
355,mkushi,-13.6202,29.3939,7.45,85,4,2.28,ZM,1718503677
356,nouadhibou,20.931,-17.0347,18.57,86,4,8.61,MR,1718503679
357,al kharijah,25.4514,30.5464,32.75,25,0,8.68,EG,1718503680
358,bikenibeu village,1.3673,173.1241,29.98,74,75,3.6,KI,1718503682
359,mana,5.6592,-53.7767,25.81,86,6,3.1,GF,1718503683
360,butterworth,5.3991,100.3638,30.02,74,20,2.06,MY,1718503445
361,atar,20.5169,-13.0499,33.37,22,0,3.57,MR,1718503686
362,naze,28.3667,129.4833,26.51,80,100,3.86,JP,1718503427
